Title,Year,Mileage,Power,Price,Location,Image_URL
TOYOTA RAV4 2.2D 4X4 odlicno socuvan,2008,"190,000 km",130 kW (174 Hp),"8.500
 €",Неготино,//reklama5.mk/photos/big/f67157c3-3498-4a1e-b5b2-732d426141e2.jpg
Skoda Superb 2.0 TDI avtomatik,2017,"200,000 km",115 kW (154 Hp),"18
 €",Аеродром / Скопје,//reklama5.mk/photos/big/8b1264e8-79ca-4344-b3fd-fb22bd7edfb4.jpg
"VW PASSAT B8  1,6 TDI 120 KS 2015 GOD MK TABLI PERFEKTEN !",2015,"190,000 km",88 kW (118 Hp),"13.500
 €",Кочани,//reklama5.mk/photos/big/376a0c7a-d4c9-436a-b678-5d88fa467ef4.jpg
CITROEN C3 1.4 HDI--REDIZAJN--MODEL 2012--NOVO VOZILO!!!!!,2012,"190,000 km",50 kW (67 Hp),"5.390
 €",Битола,//reklama5.mk/photos/big/d46ea87a-25dd-4709-99e9-0cbf4347aadc.jpg
2014 Volkswagen Passat 2.0 TDI 140hp,2014,"200,000 km",103 kW (138 Hp),По Договор,Свети Николе,//reklama5.mk/photos/big/55286704-f290-4743-8ff0-1728fad442c7.jpg
RANGE ROVER EVOQUE 2.2D 150 KS PANORAMA FULL - 14.MT Auto,2014,"170,000 km",110 kW (148 Hp),"18.500
 €",Охрид,//reklama5.mk/photos/big/6732d314-6197-4d03-8318-47534415cd8e.jpg
OPEL CORSA D 1.3 CDTI 2012 REDIZAJN,2012,"190,000 km",70 kW (94 Hp),"4.666
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/f4f00e72-04b5-4d8b-a003-d35cf067b6a7.jpg
RENAULT CLIO 1.2 75 KS NEW LED 167000KM - 15.MT Auto,2015,"160,000 km",55 kW (74 Hp),"6.500
 €",Охрид,//reklama5.mk/photos/big/1dd336c2-d4c5-4fb5-890a-01dbee7350eb.jpg
FORD FOCUS 1.6 TDCI 90 KS TITANIUM FEJSLIFT - 10.MT Auto,,,,"4.800
 €",Охрид,//reklama5.mk/photos/big/c3529ee6-cee3-4f0a-b442-0b2522bbccf4.jpg
BMW 118D 2.0 Facelift| 2010 | 143 КС | Uvezen od Germanija,2010,"190,000 km",105 kW (141 Hp),"6.700
 €",Охрид,//reklama5.mk/photos/big/0fe796f5-fc9d-4f66-9ff3-4eef44e77260.jpg
AUDI A3 1.6 TDI 105 KS S-TRONIK S-LINE KOZA - 15.MT Auto,2015,"150,000 km",77 kW (103 Hp),"12.500
 €",Охрид,//reklama5.mk/photos/big/b62ceb5d-237b-4848-bb22-b51e68445093.jpg
BMW 118d 2.0 | 2017 | 150 КС | Uvezen od Germanija,2017,"190,000 km",110 kW (148 Hp),"13.300
 €",Охрид,//reklama5.mk/photos/big/c957ca06-a224-44fb-94ad-b0dd1446dded.jpg
Fiat 500 1.3 MultiJet Dizel,2007,"180,000 km",55 kW (74 Hp),"4.000
 €",Битола,//reklama5.mk/photos/big/89479cab-130c-4dbf-8ca0-e09cddabd2bf.jpg
OPEL ASTRA 1.7 CDTI 110 KS COSMO KOZA NOV UVOZ - 12.MT Auto,2012,"190,000 km",80 kW (107 Hp),"5.999
 €",Охрид,//reklama5.mk/photos/big/8f5e8a9d-9340-43bd-894e-237191f01682.jpg
VW TOURAN -R LINE-7SEDIŠTA 09GOD.SO NAJ FULL OPREMA,2009,"190,000 km",103 kW (138 Hp),"6.500
 €",Шуто Оризари / Скопје,//reklama5.mk/photos/big/d84f8815-0076-4902-9f0c-ef229aabe74d.jpg
PEUGEOT 208 1.2 75 KS 86000KM !!! NOVA !! - 15.MT Auto,,,,"6.500
 €",Охрид,//reklama5.mk/photos/big/81c24ea5-08cf-4325-9348-ddc7025b23a5.jpg
FORD FIESTA 1.2 85 KS NOV UVOZ KAKO NOVA - 10.MT Auto,,,,"4.999
 €",Охрид,//reklama5.mk/photos/big/36467a14-0d3e-4d07-ad3c-b373da21bffb.jpg
BMW 530D 245 KS M-SPORT HEADUP FULL UVOZ CH - 11.MT Auto,2011,"190,000 km",180 kW (241 Hp),"13.500
 €",Охрид,//reklama5.mk/photos/big/fd47e809-8245-42e9-abba-7b7ad9019434.jpg
"Se prodava, Mercedes c220 cdi 2001g.",2001,"350,000 km",143 kW (192 Hp),"2.000
 €",Кривогаштани / Прилеп,//reklama5.mk/photos/big/b4ca3dd7-779f-4b4e-80b4-b6980894c215.jpg
VW TIGUAN 2.0 TDI 140 KS FEJS 4X4 DSG AVTOMATIK - 11.MT Auto,2011,"180,000 km",103 kW (138 Hp),"11.500
 €",Охрид,//reklama5.mk/photos/big/8944712a-ee33-468f-80c4-58ae6dd2a52b.jpg
FIAT SEDICI 2.0D 135 KS MULTIJET 4X4 104000KM - 11..MT Auto,2011,"100,000 km",99 kW (133 Hp),"6.500
 €",Охрид,//reklama5.mk/photos/big/67b223df-1a40-46ae-8f5c-9e6d344c2659.jpg
Volkswagen Polo 1.2 benzin/plin 2007 година неувезуван,2007,"160,000 km",44 kW (59 Hp),"3.200
 €",Кисела Вода / Скопје,//reklama5.mk/photos/big/3caa9aa6-582a-4911-ac33-fcef90161aa1.jpg
AUDI A5 2.0 TDI 170 KS S-LINE LED NAVI NOV UVOZ - 11.MT Auto,2011,"180,000 km",125 kW (168 Hp),"11.999
 €",Охрид,//reklama5.mk/photos/big/62e40a13-12e1-4b2c-a7ee-071984f989c6.jpg
Продавам одлично сочувана VW Jetta 2.0 TDI; 140KS,2009,"120,000 km",103 kW (138 Hp),"7.300
 €",Ѓорче Петров / Скопје,//reklama5.mk/photos/big/cddc012c-a5ac-4d72-8823-8da2b8c4cb32.jpg
Ср продава BMW X5 2014 god,2014,"190,000 km",300 kW (402 Hp),"30.000
 €",Куманово,//reklama5.mk/photos/big/629ed291-fb3b-407f-a2c0-eb659b81d034.jpg
"AVTOMOBILOT SE PRODAVA [Matiz,,Polo,Corsa, Golf,Fiat}",2003,"130,000 km",74 kW (99 Hp),"3.900
 €",Битола,//reklama5.mk/photos/big/3802aa4d-978b-4ba3-b0ce-b60582411362.jpg
VW TIGUAN 2.0 TDI 4-MOTION TREND LINE MODEL,2008,"200,000 km",103 kW (138 Hp),"9.200
 €",Битола,//reklama5.mk/photos/big/c26f02a3-3eab-4cce-961b-1c8b03debc06.jpg
Volkswagen Passat 1.6tdi 2013,2013,"190,000 km",77 kW (103 Hp),"9.500
 €",Битола,//reklama5.mk/photos/big/090b7ef9-1f6f-4aee-9864-27ed60a539a5.jpg
Kia Sportage 2.0 CVVT 4WD,2011,"250,000 km",120 kW (161 Hp),"12.990
 €",Гевгелија,//reklama5.mk/photos/big/80d86216-5a49-422c-9c5f-e41618c3f7bf.jpg
Audi A5,2010,"200,000 km",145 kW (194 Hp),"1
 €",Гази Баба / Скопје,//reklama5.mk/photos/big/d66a114f-b0e7-40bc-847c-3ba808ffcaa9.jpg
CITROEN C4 AIRCROSS 1.6HDI 84KW 2013,2013,"170,000 km",84 kW (113 Hp),"9.800
 €",Аеродром / Скопје,//reklama5.mk/photos/big/1943d81e-fc36-466c-af90-eb2d65850838.jpg
Audi Q5 quattro 2.0 190hp S-line MATRIX ***БЕЗ ЗАМЕНИ***,2017,"120,000 km",140 kW (188 Hp),"36.900
 €",Велес,//reklama5.mk/photos/big/b7bac363-27e6-4879-b84e-728f63b6d0ae.jpg
TOYOTA AVENSIS 2.0D 125HP 2013,2013,"120,000 km",93 kW (125 Hp),"10.500
 €",Аеродром / Скопје,//reklama5.mk/photos/big/60b8230a-f81c-4099-a836-59143086caa1.jpg
BMW 530d Xdrive Sport Line 2017,2017,"200,000 km",195 kW (261 Hp),По Договор,Прилеп,//reklama5.mk/photos/big/677e6bf1-232f-4aa8-af39-27e720b1f458.jpg
Seat IBIZA 1.6 TDI 2020,2020,"170,000 km",59 kW (79 Hp),"10.800
 €",Аеродром / Скопје,//reklama5.mk/photos/big/391ce9c2-5425-46ca-b0f7-af4588298b92.jpg
AUDI A6 3.0 Tdi quattro 2013,2013,"190,000 km",150 kW (201 Hp),"16.500
 €",Бутел / Скопје,//reklama5.mk/photos/big/f718dd55-8cf2-41b4-b135-1bbe038f1566.jpg
BMW 420d Coupe M Sport Facelift,2017,"150,000 km",140 kW (188 Hp),"32.000
 €",Велес,//reklama5.mk/photos/big/c84dc240-a8bb-4a1a-9879-5bfb207d28bc.jpg
HYUNDAI I20 1.2 BENZIN 2012 god UVOZ SVAJCARIJA,2012,"190,000 km",62 kW (83 Hp),"1
 €",Куманово,//reklama5.mk/photos/big/55e7ad88-dcaa-4fd7-b167-b78a2bd0eaf8.jpg
